id,type,amount,touristId,zone,timestamp
722505326147400,TICKET,50.0,0,ArrivalZone,2026-05-21T22:30:12.976908100
722505337478200,TICKET,50.0,1,ArrivalZone,2026-05-21T22:30:12.988426800
722505338183300,TICKET,50.0,2,ArrivalZone,2026-05-21T22:30:12.988426800
722505338754400,TICKET,50.0,3,ArrivalZone,2026-05-21T22:30:12.989428
722505339256900,TICKET,50.0,4,ArrivalZone,2026-05-21T22:30:12.989428
722505345645100,ENCLOSURE_BASIC,50.0,0,Enclosure-BASIC,2026-05-21T22:30:12.996467200
722505346284700,ENCLOSURE_BASIC,50.0,1,Enclosure-BASIC,2026-05-21T22:30:12.996467200
722505346667500,SPA_SERVICE,15.0,2,Bathroom,2026-05-21T22:30:12.997468500
722505346987300,ENCLOSURE_BASIC,50.0,2,Enclosure-BASIC,2026-05-21T22:30:12.997468500
722505347280400,ENCLOSURE_BASIC,50.0,3,Enclosure-BASIC,2026-05-21T22:30:12.997468500
722505347602400,ENCLOSURE_BASIC,50.0,4,Enclosure-BASIC,2026-05-21T22:30:12.998467600
722505348641400,TICKET,50.0,5,ArrivalZone,2026-05-21T22:30:12.999467500
722505348996300,TICKET,50.0,6,ArrivalZone,2026-05-21T22:30:12.999467500
722505349325900,TICKET,50.0,7,ArrivalZone,2026-05-21T22:30:12.999467500
722505349617300,TICKET,50.0,8,ArrivalZone,2026-05-21T22:30:13.000467800
722505349894900,TICKET,50.0,9,ArrivalZone,2026-05-21T22:30:13.000467800
722505350301400,ENCLOSURE_BASIC,50.0,0,Enclosure-BASIC,2026-05-21T22:30:13.000467800
722505350762100,ENCLOSURE_BASIC,50.0,1,Enclosure-BASIC,2026-05-21T22:30:13.001467100
722505353653800,SOUVENIR,20.0,2,CentralHub,2026-05-21T22:30:13.004590300
722505354508500,ENCLOSURE_BASIC,50.0,2,Enclosure-BASIC,2026-05-21T22:30:13.004590300
722505354964500,SOUVENIR,20.0,3,CentralHub,2026-05-21T22:30:13.005599600
722505355393200,ENCLOSURE_BASIC,50.0,3,Enclosure-BASIC,2026-05-21T22:30:13.005599600
722505355755900,ENCLOSURE_BASIC,50.0,4,Enclosure-BASIC,2026-05-21T22:30:13.006597100
722505356068500,SOUVENIR,20.0,5,CentralHub,2026-05-21T22:30:13.006597100
722505356496900,ENCLOSURE_BASIC,50.0,5,Enclosure-BASIC,2026-05-21T22:30:13.006597100
722505357016600,ENCLOSURE_BASIC,50.0,6,Enclosure-BASIC,2026-05-21T22:30:13.007597800
722505357352400,SOUVENIR,20.0,7,CentralHub,2026-05-21T22:30:13.007597800
722505357693100,ENCLOSURE_BASIC,50.0,7,Enclosure-BASIC,2026-05-21T22:30:13.008596300
722505358090500,SOUVENIR,20.0,8,CentralHub,2026-05-21T22:30:13.008596300
722505358540100,SPA_SERVICE,15.0,8,Bathroom,2026-05-21T22:30:13.008596300
722505358969100,ENCLOSURE_BASIC,50.0,8,Enclosure-BASIC,2026-05-21T22:30:13.009596400
722505359408200,SOUVENIR,20.0,9,CentralHub,2026-05-21T22:30:13.009596400
722505359836900,ENCLOSURE_BASIC,50.0,9,Enclosure-BASIC,2026-05-21T22:30:13.010597900
722505360330500,TICKET,50.0,10,ArrivalZone,2026-05-21T22:30:13.010597900
722505360780900,TICKET,50.0,11,ArrivalZone,2026-05-21T22:30:13.011597300
722505361269300,TICKET,50.0,12,ArrivalZone,2026-05-21T22:30:13.011597300
722505361612000,TICKET,50.0,13,ArrivalZone,2026-05-21T22:30:13.011597300
722505361928200,TICKET,50.0,14,ArrivalZone,2026-05-21T22:30:13.011597300
722505362313600,ENCLOSURE_BASIC,50.0,0,Enclosure-BASIC,2026-05-21T22:30:13.013102700
722505362620500,ENCLOSURE_BASIC,50.0,1,Enclosure-BASIC,2026-05-21T22:30:13.013102700
722505362947500,SOUVENIR,20.0,2,CentralHub,2026-05-21T22:30:13.013102700
722505363251100,ENCLOSURE_BASIC,50.0,2,Enclosure-BASIC,2026-05-21T22:30:13.014113700
722505363606500,ENCLOSURE_BASIC,50.0,3,Enclosure-BASIC,2026-05-21T22:30:13.014113700
722505364048700,SOUVENIR,20.0,4,CentralHub,2026-05-21T22:30:13.014113700
722505364390900,ENCLOSURE_BASIC,50.0,4,Enclosure-BASIC,2026-05-21T22:30:13.015112700
722505364709300,ENCLOSURE_BASIC,50.0,5,Enclosure-BASIC,2026-05-21T22:30:13.015112700
722505365007900,ENCLOSURE_BASIC,50.0,6,Enclosure-BASIC,2026-05-21T22:30:13.015112700
722505365439100,SOUVENIR,20.0,7,CentralHub,2026-05-21T22:30:13.016112
722505365756700,ENCLOSURE_BASIC,50.0,7,Enclosure-BASIC,2026-05-21T22:30:13.016112
